State,Account Length,Area Code,Phone Number,Inter Plan,VoiceMail Plan,0 of Vmail Mesgs,Total Day Min,Total Day calls,Total Day Charge,Total Evening Min,Total Evening Calls,Total Evening Charge,Total Night Minutes,Total Night Calls,Total Night Charge,Total Int Min,Total Int Calls,Total Int Charge,0 of Calls Customer Service,Churn
OH,107.0,A415,371-7191,0,1,26.0,161.6,123.0,27.47,195.5,103.0,16.62,254.4,103.0,11.45,13.7,3.0,3.7,1.0,False
NJ,137.0,A415,358-1921,0,0,0.0,243.4,114.0,41.38,121.2,110.0,10.3,162.6,104.0,7.32,12.2,5.0,3.29,0.0,False
OH,84.0,A408,375-9999,1,0,0.0,299.4,71.0,50.9,61.9,88.0,5.26,196.9,89.0,8.86,6.6,7.0,1.78,2.0,False
OK,75.0,A415,330-6626,1,0,0.0,166.7,113.0,28.34,148.3,122.0,12.61,186.9,121.0,8.41,10.1,3.0,2.73,3.0,False
AL,118.0,A510,391-8027,1,0,0.0,223.4,98.0,37.98,220.6,101.0,18.75,203.9,118.0,9.18,6.3,6.0,1.7,0.0,False
MA,121.0,A510,355-9993,0,1,24.0,218.2,88.0,37.09,348.5,108.0,29.62,212.6,118.0,9.57,7.5,7.0,2.03,3.0,False
MO,147.0,A415,329-9001,1,0,0.0,157.0,79.0,26.69,103.1,94.0,8.76,211.8,96.0,9.53,7.1,6.0,1.92,0.0,False
LA,117.0,A408,335-4719,0,0,0.0,184.5,97.0,31.37,351.6,80.0,29.89,215.8,90.0,9.71,8.7,4.0,2.35,1.0,False
WV,141.0,A415,330-8173,1,1,37.0,258.6,84.0,43.96,222.0,111.0,18.87,326.4,97.0,14.69,11.2,5.0,3.02,0.0,False
IN,65.0,A415,329-6603,0,0,0.0,129.1,137.0,21.95,228.5,83.0,19.42,208.8,111.0,9.4,12.7,6.0,3.43,4.0,True
RI,74.0,A415,344-9403,0,0,0.0,187.7,127.0,31.91,163.4,148.0,13.89,196.0,94.0,8.82,9.1,5.0,2.46,0.0,False
IA,168.0,A408,363-1107,0,0,0.0,128.8,96.0,21.9,104.9,71.0,8.92,141.1,128.0,6.35,11.2,2.0,3.02,1.0,False
MT,95.0,A510,394-8006,0,0,0.0,156.6,88.0,26.62,247.6,75.0,21.05,192.3,115.0,8.65,12.3,5.0,3.32,3.0,False
IA,62.0,A415,366-9238,0,0,0.0,120.7,70.0,20.52,307.2,76.0,26.11,203.0,99.0,9.14,13.1,6.0,3.54,4.0,False
NY,161.0,A415,351-7269,0,0,0.0,332.9,67.0,56.59,317.8,97.0,27.01,160.6,128.0,7.23,5.4,9.0,1.46,4.0,True
ID,85.0,A408,350-8884,0,1,27.0,196.4,139.0,33.39,280.9,90.0,23.88,89.3,75.0,4.02,13.8,4.0,3.73,1.0,False
VT,93.0,A510,386-2923,0,0,0.0,190.7,114.0,32.42,218.2,111.0,18.55,129.6,121.0,5.83,8.1,3.0,2.19,3.0,False
VA,76.0,A510,356-2992,0,1,33.0,189.7,66.0,32.25,212.8,65.0,18.09,165.7,108.0,7.46,10.0,5.0,2.7,1.0,False
TX,73.0,A415,373-2782,0,0,0.0,224.4,90.0,38.15,159.5,88.0,13.56,192.8,74.0,8.68,13.0,2.0,3.51,1.0,False
FL,147.0,A415,396-5800,0,0,0.0,155.1,117.0,26.37,239.7,93.0,20.37,208.8,133.0,9.4,10.6,4.0,2.86,0.0,False
CO,77.0,A408,393-7984,0,0,0.0,62.4,89.0,10.61,169.9,121.0,14.44,209.6,64.0,9.43,5.7,6.0,1.54,5.0,True
AZ,130.0,A415,358-1958,0,0,0.0,183.0,112.0,31.11,72.9,99.0,6.2,181.8,78.0,8.18,9.5,19.0,2.57,0.0,False
SC,111.0,A415,350-2565,0,0,0.0,110.4,103.0,18.77,137.3,102.0,11.67,189.6,105.0,8.53,7.7,6.0,2.08,2.0,False
VA,132.0,A510,343-4696,0,0,0.0,81.1,86.0,13.79,245.2,72.0,20.84,237.0,115.0,10.67,10.3,2.0,2.78,0.0,False
NE,174.0,A415,331-3698,0,0,0.0,124.3,76.0,21.13,277.1,112.0,23.55,250.7,115.0,11.28,15.5,5.0,4.19,3.0,False
WY,57.0,A408,357-3817,0,1,39.0,213.0,115.0,36.21,191.1,112.0,16.24,182.7,115.0,8.22,9.5,3.0,2.57,0.0,False
MT,54.0,A408,418-6412,0,0,0.0,134.3,73.0,22.83,155.5,100.0,13.22,102.1,68.0,4.59,14.7,4.0,3.97,3.0,False
MO,20.0,A415,353-2630,0,0,0.0,190.0,109.0,32.3,258.2,84.0,21.95,181.5,102.0,8.17,6.3,6.0,1.7,0.0,False
HI,49.0,A510,410-7789,0,0,0.0,119.3,117.0,20.28,215.1,109.0,18.28,178.7,90.0,8.04,11.1,1.0,3.0,1.0,False
IL,142.0,A415,416-8428,0,0,0.0,84.8,95.0,14.42,136.7,63.0,11.62,250.5,148.0,11.27,14.2,6.0,3.83,2.0,False
NH,75.0,A510,370-3359,0,0,0.0,226.1,105.0,38.44,201.5,107.0,17.13,246.2,98.0,11.08,10.3,5.0,2.78,1.0,False
LA,172.0,A408,383-1121,0,0,0.0,212.0,121.0,36.04,31.2,115.0,2.65,293.3,78.0,13.2,12.6,10.0,3.4,3.0,False
AZ,12.0,A408,360-1596,0,0,0.0,249.6,118.0,42.43,252.4,119.0,21.45,280.2,90.0,12.61,11.8,3.0,3.19,1.0,True
OK,57.0,A408,395-2854,0,1,25.0,176.8,94.0,30.06,195.0,75.0,16.58,213.5,116.0,9.61,8.3,4.0,2.24,0.0,False
GA,72.0,A415,362-1407,0,1,37.0,220.0,80.0,37.4,217.3,102.0,18.47,152.8,71.0,6.88,14.7,6.0,3.97,3.0,False
AK,36.0,A408,341-9764,0,1,30.0,146.3,128.0,24.87,162.5,80.0,13.81,129.3,109.0,5.82,14.5,6.0,3.92,0.0,False
MA,78.0,A415,353-3305,0,0,0.0,130.8,64.0,22.24,223.7,116.0,19.01,227.8,108.0,10.25,10.0,5.0,2.7,1.0,False
AK,136.0,A415,402-1381,1,1,33.0,203.9,106.0,34.66,187.6,99.0,15.95,101.7,107.0,4.58,10.5,6.0,2.84,3.0,False
NJ,149.0,A408,332-9891,0,0,0.0,140.4,94.0,23.87,271.8,92.0,23.1,188.3,108.0,8.47,11.1,9.0,3.0,1.0,False
GA,98.0,A408,372-9976,0,0,0.0,126.3,102.0,21.47,166.8,85.0,14.18,187.8,135.0,8.45,9.4,2.0,2.54,3.0,False
MD,135.0,A408,383-6029,1,1,41.0,173.1,85.0,29.43,203.9,107.0,17.33,122.2,78.0,5.5,14.6,15.0,3.94,0.0,True
AR,34.0,A510,353-7289,0,0,0.0,124.8,82.0,21.22,282.2,98.0,23.99,311.5,78.0,14.02,10.0,4.0,2.7,2.0,False
ID,160.0,A415,390-7274,0,0,0.0,85.8,77.0,14.59,165.3,110.0,14.05,178.5,92.0,8.03,9.2,4.0,2.48,3.0,False
WI,64.0,A510,352-1237,0,0,0.0,154.0,67.0,26.18,225.8,118.0,19.19,265.3,86.0,11.94,3.5,3.0,0.95,1.0,False
OR,59.0,A408,353-3061,0,1,28.0,120.9,97.0,20.55,213.0,92.0,18.11,163.1,116.0,7.34,8.5,5.0,2.3,2.0,False
MI,65.0,A415,363-5450,0,0,0.0,211.3,120.0,35.92,162.6,122.0,13.82,134.7,118.0,6.06,13.2,5.0,3.56,3.0,False
DE,142.0,A408,364-1995,0,0,0.0,187.0,133.0,31.79,134.6,74.0,11.44,242.2,127.0,10.9,7.4,5.0,2.0,2.0,False
ID,119.0,A415,398-1294,0,0,0.0,159.1,114.0,27.05,231.3,117.0,19.66,143.2,91.0,6.44,8.8,3.0,2.38,5.0,True
WY,97.0,A415,405-7146,0,1,24.0,133.2,135.0,22.64,217.2,58.0,18.46,70.6,79.0,3.18,11.0,3.0,2.97,1.0,False
IA,52.0,A408,413-4957,0,0,0.0,191.9,108.0,32.62,269.8,96.0,22.93,236.8,87.0,10.66,7.8,5.0,2.11,3.0,False
IN,60.0,A408,420-5645,0,0,0.0,220.6,57.0,37.5,211.1,115.0,17.94,249.0,129.0,11.21,6.8,3.0,1.84,1.0,False
VA,10.0,A408,349-4396,0,0,0.0,186.1,112.0,31.64,190.2,66.0,16.17,282.8,57.0,12.73,11.4,6.0,3.08,2.0,False
UT,96.0,A415,404-3211,0,0,0.0,160.2,117.0,27.23,267.5,67.0,22.74,228.5,68.0,10.28,9.3,5.0,2.51,2.0,False
WY,87.0,A415,353-3759,0,0,0.0,151.0,83.0,25.67,219.7,116.0,18.67,203.9,127.0,9.18,9.7,3.0,2.62,5.0,True
IN,81.0,A408,363-5947,0,0,0.0,175.5,67.0,29.84,249.3,85.0,21.19,270.2,98.0,12.16,10.2,3.0,2.75,1.0,False
CO,141.0,A415,340-5121,0,0,0.0,126.9,98.0,21.57,180.0,62.0,15.3,140.8,128.0,6.34,8.0,2.0,2.16,1.0,False
CO,121.0,A408,370-7574,0,1,30.0,198.4,129.0,33.73,75.3,77.0,6.4,181.2,77.0,8.15,5.8,3.0,1.57,3.0,True
WI,68.0,A415,403-9733,0,0,0.0,148.8,70.0,25.3,246.5,164.0,20.95,129.8,103.0,5.84,12.1,3.0,3.27,3.0,False
OK,125.0,A408,355-7251,0,0,0.0,229.3,103.0,38.98,177.4,126.0,15.08,189.3,95.0,8.52,12.0,8.0,3.24,1.0,False
ID,174.0,A408,359-5893,0,0,0.0,192.1,97.0,32.66,169.9,94.0,14.44,166.6,54.0,7.5,11.4,4.0,3.08,1.0,False
CA,116.0,A415,405-3371,0,1,34.0,268.6,83.0,45.66,178.2,142.0,15.15,166.3,106.0,7.48,11.6,3.0,3.13,2.0,False
MN,74.0,A510,344-5117,0,1,33.0,193.7,91.0,32.93,246.1,96.0,20.92,138.0,92.0,6.21,14.6,3.0,3.94,2.0,False
SD,149.0,A408,332-8160,0,1,28.0,180.7,92.0,30.72,187.8,64.0,15.96,265.5,53.0,11.95,12.6,3.0,3.4,3.0,False
NC,38.0,A408,359-4081,0,0,0.0,131.2,98.0,22.3,162.9,97.0,13.85,159.0,106.0,7.15,8.2,6.0,2.21,2.0,False
WA,40.0,A415,352-8305,0,1,41.0,148.1,74.0,25.18,169.5,88.0,14.41,214.1,102.0,9.63,6.2,5.0,1.67,2.0,False
WY,43.0,A415,329-9847,1,0,0.0,251.5,105.0,42.76,212.8,104.0,18.09,157.8,67.0,7.1,9.3,4.0,2.51,0.0,False
MN,113.0,A408,365-9011,1,0,0.0,125.2,93.0,21.28,206.4,119.0,17.54,129.3,139.0,5.82,8.3,8.0,2.24,0.0,False
UT,126.0,A408,338-9472,0,0,0.0,211.6,70.0,35.97,216.9,80.0,18.44,153.5,60.0,6.91,7.8,1.0,2.11,1.0,False
TX,150.0,A510,374-8042,0,0,0.0,178.9,101.0,30.41,169.1,110.0,14.37,148.6,100.0,6.69,13.8,3.0,3.73,4.0,True
NJ,138.0,A408,359-1231,0,0,0.0,241.8,93.0,41.11,170.5,83.0,14.49,295.3,104.0,13.29,11.8,7.0,3.19,3.0,False
MN,162.0,A510,413-7170,0,1,46.0,224.9,97.0,38.23,188.2,84.0,16.0,254.6,61.0,11.46,12.1,2.0,3.27,0.0,False
NM,147.0,A510,415-2935,0,0,0.0,248.6,83.0,42.26,148.9,85.0,12.66,172.5,109.0,7.76,8.0,4.0,2.16,3.0,False
NV,90.0,A415,399-4246,0,0,0.0,203.4,146.0,34.58,226.7,117.0,19.27,152.4,105.0,6.86,7.3,4.0,1.97,1.0,False
